#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-10T15:24:58 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-10T15:24:58	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out=Name,RAJ2000,DEJ2000,Dist,f_Dist&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
Name	RAJ2000	DEJ2000	Dist	f_Dist
ESO376-016        	10 43 27.1	-37 02 33	 7.10	TF
NGC3344           	10 43 30.2	+24 55 25	 6.85	h
LeG10             	10 43 55.4	+12 08 07	10.40	mem
NGC3351           	10 43 57.7	+11 42 13	10.05	Cep
LeG11             	10 44 02.1	+15 35 20	10.40	mem
LeG12             	10 44 07.8	+11 31 59	10.40	mem
AGC205445         	10 44 35.3	+13 56 23	10.40	mem
LeG13             	10 44 57.6	+11 54 58	10.40	mem
LeG14             	10 46 14.4	+12 57 36	10.40	mem
KK93              	10 46 24.8	+14 01 30	10.40	mem
LeG16             	10 46 30.0	+11 45 21	10.40	mem
LeG17             	10 46 41.5	+12 19 35	10.40	mem
NGC3368           	10 46 45.8	+11 49 11	10.42	Cep
LeG18             	10 46 53.3	+12 44 40	10.40	mem
LeG19             	10 46 54.8	+12 47 17	10.40	mem
KK94              	10 46 57.3	+12 59 54	10.40	mem
LeG21             	10 47 00.8	+12 57 35	10.40	mem
DDO088            	10 47 22.3	+14 04 13	 7.73	TRGB
ESO318-013        	10 47 41.9	-38 51 15	 6.50	TF
NGC3377           	10 47 42.4	+13 59 08	10.91	SBF
NGC3379           	10 47 49.6	+12 34 54	11.12	SBF
NGC3384           	10 48 16.9	+12 37 45	11.38	SBF
UGC05923          	10 49 07.6	+06 55 02	22.30	TF
Willman1          	10 49 21.0	+51 03 00	 0.04	CMD
DDO087            	10 49 36.5	+65 31 50	 7.45	BS
LeG22             	10 49 37.1	+11 21 06	10.40	mem
LeG23             	10 50 09.1	+13 29 01	10.40	mem
UGC05944          	10 50 19.1	+13 16 19	11.07	SBF
KK96              	10 50 27.1	+12 21 39	10.40	mem
NGC3412           	10 50 53.3	+13 24 44	10.40	mem
NGC3413           	10 51 20.7	+32 45 59	12.02	TF
LeG26             	10 51 21.1	+12 50 57	10.40	mem
AGC205540         	10 51 31.4	+14 06 53	10.40	mem
KKH65             	10 51 59.1	+28 21 45	10.00	txt
AGC205544         	10 52 04.8	+15 01 50	10.40	mem
LV J1052+3628     	10 52 05.5	+36 28 36	 9.20	mem
UGC05983          	10 52 17.5	+36 35 36	 9.20	mem
AGC202456         	10 52 19.5	+11 02 36	10.40	mem
LeG27             	10 52 20.1	+14 42 26	10.40	mem
NGC3432           	10 52 31.1	+36 37 08	 9.20	TF
LV J1052+3639     	10 52 40.8	+36 39 54	 9.20	mem
KDG073            	10 52 57.1	+69 32 45	 3.70	TRGB
LeG28             	10 53 00.7	+10 22 45	10.40	mem
UGC06014          	10 53 42.7	+09 43 41	10.40	mem
LSBC D640-12      	10 55 57.1	+12 20 20	10.40	mem
LSBC D640-13      	10 56 14.0	+12 00 37	10.40	mem
HS1053+3624       	10 56 40.4	+36 08 28	 9.20	mem
ESO215-009        	10 57 30.2	-48 10 44	 5.25	TRGB
VV747             	10 57 47.0	+36 15 39	 9.20	mem
CGCG 095-078      	10 58 02.2	+19 30 19	 7.37	h
LSBC D640-14      	10 58 10.5	+11 59 57	10.40	mem
AGC205278         	10 58 52.1	+14 07 46	10.40	mem
NGC3489           	11 00 18.6	+13 54 04	12.08	SBF
LeG33             	11 00 45.2	+14 10 20	10.40	mem
LSBC D640-08      	11 00 52.1	+13 52 51	10.40	mem
CGCG 066-109      	11 04 26.5	+11 45 18	10.40	mem
KKSG20            	11 04 40.6	+00 03 30	10.70	mem
MRK0036           	11 04 58.5	+29 08 22	 8.02	h
UGC06145          	11 05 35.0	-01 51 49	10.70	mem
NGC3521sat        	11 05 40.7	+00 07 15	10.70	mem
NGC3521           	11 05 48.6	-00 02 09	10.70	TF
KKSG22            	11 06 07.7	-01 26 55	10.70	mem
NGC3556           	11 11 31.0	+55 40 26	 9.90	TF
DDO092            	11 13 26.1	+53 35 42	 9.90	mem
LeoII             	11 13 29.2	+22 09 17	 0.21	TRGB
NGC3593           	11 14 35.9	+12 49 07	10.80	TF
AGC202256         	11 14 45.0	+12 38 51	11.00	TF
IC2684            	11 17 01.0	+13 05 59	10.30	mem
NGC3621           	11 18 16.1	-32 48 42	 6.70	Cep
AGC215354         	11 19 15.9	+14 17 25	10.42	mem
NGC3627           	11 20 15.0	+12 59 29	10.28	Cep
AGC213436         	11 22 24.0	+12 58 46	10.30	mem
KKH67             	11 23 03.5	+21 19 37	10.00	txt
IC2787            	11 23 19.1	+13 37 47	10.30	mem
IC2791            	11 23 37.6	+12 53 45	10.30	mem
UGC06456          	11 28 00.6	+78 59 29	 4.35	TRGB
KDG078            	11 29 54.0	+52 24 14	 9.00	txt
LeoV              	11 31 09.6	+02 13 12	 0.18	CMD
HIPASS J1131-31   	11 31 35.2	-31 40 20	 6.70	mem
LeoIV             	11 32 57.0	-00 32 00	 0.16	HB
HIPASS J1133-32   	11 33 11.0	-32 57 43	 6.70	mem
UGC06541          	11 33 29.1	+49 14 17	 3.89	TRGB
NGC3738           	11 35 48.6	+54 31 22	 4.90	TRGB
NGC3741           	11 36 06.4	+45 17 07	 3.03	TRGB
ESO320-014        	11 37 53.4	-39 13 14	 6.08	TRGB
UGC06757          	11 46 59.1	+61 20 06	 2.73	h
KK109             	11 47 11.2	+43 40 19	 4.51	TRGB
DDO097            	11 48 57.2	+23 50 16	13.74	BS
KKH73             	11 50 06.4	+55 47 00	 9.00	txt
DDO099            	11 50 53.0	+38 52 50	 2.64	TRGB
ESO379-007        	11 54 43.0	-33 33 29	 5.22	TRGB
UGC06881          	11 54 44.7	+20 03 20	16.40	TF
MCG +05-28-046    	11 55 23.5	+28 20 24	 7.45	h
KDG082            	11 55 39.4	+31 31 10	16.60	TF
NGC3990           	11 57 35.6	+55 27 31	10.30	SBF
LV J1157+5638     	11 57 54.2	+56 38 17	 7.03	h
LV J1158+1535     	11 58 40.4	+15 35 34	 6.27	h
BTS76             	11 58 44.1	+27 35 06	 5.57	h
ESO572-034        	11 58 58.1	-19 01 48	 8.50	TF
KUG 1157+315      	12 00 16.2	+31 13 30	23.20	TF
LV J1203+4739     	12 03 00.0	+47 39 15	 7.49	h
LV J1203+3257     	12 03 10.9	+32 57 22	 7.55	h
NGC4068           	12 04 02.4	+52 35 19	 4.31	TRGB
NGC4080           	12 04 51.8	+26 59 33	15.00	TF
ESO379-024        	12 04 56.7	-35 44 35	 4.88	h
IC2992            	12 05 15.9	+30 51 20	12.70	TF
KUG 1202+286      	12 05 23.3	+28 21 56	 6.69	h
LV J1205+2813     	12 05 34.2	+28 13 56	 6.74	h
MAPS1206+31       	12 06 34.5	+31 20 33	 7.43	h
LV J1207+3133     	12 07 50.0	+31 33 08	 7.37	h
UGC07131          	12 09 11.8	+30 54 24	16.80	TF
NGC4136           	12 09 17.7	+29 55 39	 7.90	h
MCG +06-27-017    	12 09 56.4	+36 26 07	 4.83	TRGB
NGC4144           	12 09 59.3	+46 27 26	 7.24	TRGB
IC3023            	12 10 01.7	+14 22 01	 7.70	TF
NGC4150           	12 10 33.6	+30 24 06	13.74	SBF
NGC4163           	12 12 08.9	+36 10 10	 2.94	TRGB
KK127             	12 13 22.7	+29 55 18	17.30	TF
NGC4190           	12 13 44.6	+36 38 00	 2.82	TRGB
LV J1213+2957     	12 13 48.4	+29 57 32	 2.68	h
ESO321-014        	12 13 49.6	-38 13 53	 3.18	TRGB
UGC07242          	12 14 07.4	+66 05 32	 5.42	TRGB
VCC0114           	12 14 35.2	+05 40 38	 8.20	TF
KDG090            	12 14 57.9	+36 13 08	 2.86	TRGB
UGC7257           	12 15 03.0	+35 57 31	 8.80	TF
NGC4204           	12 15 14.4	+20 39 31	 8.00	txt
UGC07267          	12 15 23.6	+51 21 00	12.90	TF
UGC07271          	12 15 33.4	+43 26 03	18.60	TF
NGC4214           	12 15 38.9	+36 19 39	 2.94	TRGB
MCG +09-20-131    	12 15 46.7	+52 23 15	 4.59	TRGB
VCC0169           	12 15 56.2	+09 38 57	 9.40	TF
IC3077            	12 15 56.3	+14 25 59	 9.10	TF
UGC07298          	12 16 28.6	+52 13 38	 4.21	TRGB
NGC4236           	12 16 43.3	+69 27 56	 4.45	TRGB
LV J1217+4703     	12 17 10.1	+47 03 49	 7.80	mem
UGC07320          	12 17 28.5	+44 48 41	 9.20	TF
NGC4244           	12 17 29.9	+37 48 27	 4.49	TRGB
NGC4242           	12 17 30.2	+45 37 10	 7.90	TF
LV J1217+3231     	12 17 32.0	+32 31 57	 5.93	h
UGC7321           	12 17 34.0	+22 32 25	17.20	TF
KKH78             	12 17 44.5	+33 20 43	 4.70	mem
NGC4248           	12 17 49.9	+47 24 33	 7.40	TF
LV J1218+4655     	12 18 11.1	+46 55 01	 6.54	h
AGC229053         	12 18 15.5	+25 34 06	17.90	TF
KDG098            	12 18 29.4	+28 38 45	 9.00	txt
IC3104            	12 18 46.1	-79 43 34	 2.27	TRGB
NGC4258           	12 18 57.5	+47 18 14	 7.83	Cep
KK132             	12 19 06.5	+47 43 51	 7.80	mem
KDG101            	12 19 09.1	+47 05 23	 7.24	TRGB
KK133             	12 19 32.8	+43 23 11	 8.23	h
KK134             	12 19 33.8	+47 27 06	 7.80	mem
d1219+4705        	12 19 36.8	+47 05 33	 7.80	mem
IC 779            	12 19 38.7	+29 53 00	16.67	SBF
VCC0381           	12 19 54.1	+06 39 57	 4.71	h
[KKH2011]S11      	12 20 30.1	+47 29 25	 7.80	mem
NGC4288           	12 20 38.1	+46 17 30	 8.05	h
KK136             	12 20 40.6	+47 00 03	 7.80	mem
CVnHI             	12 20 43.4	+46 12 33	 6.50	h
KUG 1218+387      	12 20 54.9	+38 25 49	 8.03	h
d1220+4649        	12 20 55.0	+46 49 45	 7.80	mem
DDO120            	12 21 15.0	+45 48 41	 7.06	h
KDG104            	12 21 27.9	+15 01 28	 9.40	TF
KDG105            	12 21 43.0	+37 59 14	 7.60	TF
UGC7427           	12 21 55.0	+35 03 05	 9.70	TF
NGC4308           	12 21 56.9	+30 04 27	14.00	txt
KK138             	12 21 58.4	+28 14 34	 6.30	mem
GR34              	12 22 07.6	+15 47 57	 8.90	TF
VCC0565           	12 22 38.5	+06 00 52	 9.60	TF
KK141             	12 22 52.7	+33 49 43	 7.78	h
IC3247            	12 23 14.0	+28 53 38	24.40	TF
BTS132            	12 23 46.2	+47 39 32	 7.80	mem
IC3308            	12 25 17.9	+26 42 53	12.80	TF
KK144             	12 25 27.9	+28 28 57	 6.15	h
UGC07512          	12 25 41.3	+02 09 32	10.60	TF
AGC749236         	12 25 42.4	+26 48 36	19.50	TF
VCC0841           	12 25 47.0	+14 57 07	 7.90	TF
NGC4395           	12 25 49.8	+33 32 46	 4.61	TRGB
DDO123            	12 26 08.1	+58 19 21	10.50	TF
UGCA281           	12 26 16.0	+48 29 31	 5.68	TRGB
IC3341            	12 26 23.4	+27 44 44	14.00	TF
SBS 1224+533      	12 26 52.6	+53 06 19	 5.35	h
ComaI             	12 26 59.0	+23 54 15	 0.04	HB
DDO126            	12 27 05.1	+37 08 33	 4.88	TRGB
DDO125            	12 27 41.8	+43 29 38	 2.74	TRGB
UGC07584          	12 28 02.9	+22 35 22	 9.20	TF
KKH80             	12 28 05.4	+22 17 27	 7.43	h
NGC4449           	12 28 11.2	+44 05 40	 4.21	TRGB
DDO127            	12 28 28.5	+37 14 00	 6.89	BS
UGC07596          	12 28 33.9	+08 38 23	 4.60	TF
UGC07605          	12 28 39.0	+35 43 05	 4.43	TRGB
NGC4455           	12 28 44.1	+22 49 21	 8.40	TF
DDO129            	12 28 44.2	+43 13 27	 8.90	TF
LV J1228+4358     	12 28 44.9	+43 58 18	 4.07	TRGB
NGC4460           	12 28 45.8	+44 51 52	 9.59	SBF
KK149             	12 28 52.3	+42 10 40	 8.90	TF
UGC07639          	12 29 53.0	+47 31 48	 7.14	SBF
UGC07636          	12 30 01.0	+07 55 46	 5.20	TF
KK151             	12 30 23.8	+42 54 05	 6.56	h
NGC4485           	12 30 31.2	+41 42 00	 5.80	mem
NGC4490           	12 30 36.4	+41 38 37	 5.80	TF
CGCG 014-054      	12 31 03.8	+01 40 33	 9.60	TF
MAPS1231+42       	12 31 09.0	+42 05 39	 5.80	mem
DDO131            	12 31 58.6	+29 42 35	 8.10	mem
UGC7678           	12 32 00.4	+39 49 55	 6.90	TF
UGC07690          	12 32 26.9	+42 42 15	11.20	TF
NGC4517           	12 32 45.5	+00 06 54	 9.70	TF
UGC07699          	12 32 48.0	+37 37 18	14.50	TF
DDO133            	12 32 53.0	+31 32 21	 4.85	TRGB
NGC4509           	12 33 06.8	+32 05 30	10.10	TF
BTS142            	12 33 07.4	+38 06 58	10.00	txt
KDG155            	12 33 08.0	-00 31 59	 8.11	h
KK152             	12 33 24.9	+33 21 05	 6.90	TF
UGC7719           	12 34 00.6	+39 01 10	 9.20	TF
NGC4534           	12 34 05.5	+35 31 06	 9.80	TF
UGC7751           	12 35 11.8	+41 03 39	 7.90	TF
LV J1235-1104     	12 35 39.4	-11 04 02	10.00	TF
NGC4559           	12 35 57.7	+27 57 35	 8.10	TF
UGC07774          	12 36 22.5	+40 00 19	22.60	TF
VCC1675           	12 36 35.0	+08 03 17	 7.50	TF
IC3583            	12 36 43.5	+13 15 34	 7.60	TF
MAPS1236+33       	12 36 49.4	+33 36 48	11.70	TF
IC3591            	12 37 03.0	+06 55 36	 9.80	TF
KKSG29            	12 37 14.1	-10 29 51	 7.70	TF
Arp211            	12 37 21.3	+38 44 43	 6.61	TRGB
VCC1713           	12 37 29.1	+04 45 05	 7.20	TF
KKSG30            	12 37 35.9	-08 52 02	 9.10	TF
VCC1725           	12 37 41.2	+08 33 33	 8.50	TF
KKSG31            	12 38 33.7	-10 29 25	 9.30	mem
UGCA292           	12 38 40.0	+32 46 00	 3.61	TRGB
UGC07827          	12 39 38.9	+44 49 15	 8.50	TF
KKSG32            	12 39 55.0	-11 44 48	 9.30	mem
KDG177            	12 39 58.5	+13 46 53	 8.20	TF
NGC4594           	12 39 59.1	-11 37 23	 9.30	SBF
NGC4605           	12 40 00.3	+61 36 29	 5.47	TRGB
AGC749241         	12 40 01.7	+26 19 19	 9.20	TF
BTS146            	12 40 02.1	+38 00 02	 8.50	TF
SUCD1             	12 40 03.1	-11 40 04	 9.30	mem
KKSG33            	12 40 08.9	-12 21 53	 9.30	mem
VCC1822           	12 40 10.4	+06 50 49	 8.10	TF
NGC4597           	12 40 12.9	-05 47 57	10.10	TF
NGC4600           	12 40 23.0	+03 07 04	 7.35	SBF
KKSG34            	12 41 18.9	-11 55 39	 9.30	mem
NGC4618           	12 41 32.8	+41 09 03	 7.90	TF
LV J1241+3251     	12 41 47.3	+32 51 28	 7.30	mem
NGC4625           	12 41 52.7	+41 16 26	 7.90	mem
NGC4627           	12 41 59.7	+32 34 25	 7.30	mem
NGC4631           	12 42 08.0	+32 32 29	 7.38	TRGB
IC3687            	12 42 15.1	+38 30 07	 4.57	TRGB
BTS151            	12 43 24.6	+32 28 56	 7.30	mem
LV J1243+3232     	12 43 44.6	+32 32 04	 7.30	mem
KDG192            	12 43 45.0	+53 57 32	 7.45	h
LV J1243+4127     	12 43 55.7	+41 27 25	 6.09	h
KK160             	12 43 57.4	+43 39 41	 4.31	TRGB
NGC4656           	12 43 57.6	+32 10 13	 5.40	TF
[KK2000] 51       	12 44 21.5	-42 56 23	 3.60	mem
DDO143            	12 44 25.1	+34 23 11	 9.10	TF
UGCA294           	12 44 38.1	+28 28 21	 9.90	TF
ESO381-018        	12 44 42.7	-35 58 00	 5.32	TRGB
IC3718            	12 44 46.0	+12 21 05	 6.80	TF
ESO381-020        	12 46 00.4	-33 50 17	 5.45	TRGB
VCC2033           	12 46 04.5	+08 28 35	 9.80	TF
VCC2037           	12 46 15.3	+10 12 12	 7.40	TF
UGCA298           	12 46 55.4	+26 33 51	11.00	TF
UGC07950          	12 46 56.4	+51 36 47	 8.90	TF
DDO147            	12 46 59.8	+36 28 35	 5.40	TF
FGC1497           	12 47 00.6	+32 39 05	23.40	TF
HIPASS J1247-77   	12 47 32.6	-77 35 01	 3.16	TRGB
NGC4707           	12 48 22.9	+51 09 53	 5.80	TF
DDO148            	12 48 43.1	-05 15 14	 9.00	TF
KK165             	12 48 52.7	+31 58 13	 5.40	mem
NGC4700           	12 49 07.6	-11 24 41	 7.30	TF
KK166             	12 49 13.3	+35 36 45	 4.74	TRGB
MAPS1249+44       	12 49 31.0	+44 21 33	 7.84	h
UGC07983          	12 49 47.0	+03 50 32	 9.40	TF
UGC07990          	12 50 27.2	+28 21 10	20.40	TF
NGC4736           	12 50 53.5	+41 07 10	 4.66	TRGB
BTS157            	12 51 13.3	+47 04 15	 8.83	mem
KK167             	12 51 44.4	+26 06 38	 9.20	TF
IC3840            	12 51 46.1	+21 44 07	 5.50	TF
NGC4765           	12 53 14.4	+04 27 47	 9.70	TF
KKSG38            	12 53 31.6	-05 55 40	10.40	TF
DDO153            	12 53 57.5	-12 06 31	 8.00	TF
DDO154            	12 54 05.2	+27 08 55	 4.04	TRGB
UGC08030          	12 54 29.4	+26 18 18	15.30	TF
ESO443-009        	12 54 53.6	-28 20 27	 5.78	TRGB
KDG215            	12 55 40.5	+19 12 33	 5.50	TF
ESO219-010        	12 56 09.6	-50 08 38	 4.29	SBF
KDG216            	12 56 25.0	+15 05 09	 6.00	txt
UGC08061          	12 56 43.4	+11 55 52	 6.49	h
NGC4826           	12 56 44.2	+21 41 05	 4.37	TRGB
CVnII             	12 57 10.0	+34 19 15	 0.16	HB
MCG-02-33-075     	12 58 28.3	-10 34 37	 8.70	TF
GR8               	12 58 40.4	+14 13 03	 2.13	TRGB
HIPASS J1258-04   	12 58 49.6	-04 53 19	 6.50	TF
NGC4861           	12 59 02.0	+34 51 37	 7.30	TF
KK176             	12 59 56.3	-19 24 47	 6.90	TF
UGCA319           	13 02 14.4	-17 14 15	 7.30	mem
KK177             	13 02 41.9	+21 59 51	 4.40	mem
DDO161            	13 03 16.8	-17 25 23	 7.30	TF
ESO269-037        	13 03 33.6	-46 35 03	 3.48	TRGB
KK180             	13 04 29.9	+17 45 32	 4.40	mem
KK182             	13 05 02.9	-40 04 58	 5.78	TRGB
NGC4945           	13 05 26.1	-49 28 16	 3.80	TRGB
KDG218            	13 05 44.0	-07 45 20	 5.00	txt
IC4182            	13 05 49.3	+37 36 21	 4.70	Cep
DDO165            	13 06 26.8	+67 42 15	 4.57	TRGB
MCG -03-34-002    	13 07 56.6	-16 41 21	 7.90	TF
UGC08215          	13 08 03.6	+46 49 41	 4.55	TRGB
UGC08245          	13 08 34.2	+78 56 13	 1.99	h
MCG -04-31-038    	13 09 36.6	-27 08 26	 7.80	TF
ESO269-058        	13 10 32.9	-46 59 27	 3.80	TRGB
[KK2000] 53       	13 11 14.2	-38 54 22	 3.60	mem
NGC5023           	13 12 11.9	+44 02 19	 6.61	TRGB
KK189             	13 12 45.0	-41 49 55	 4.21	TRGB
CGCG 217-018      	13 12 51.8	+40 32 35	 8.33	mem
KKH82             	13 12 58.7	+41 47 12	 8.06	h
ESO269-066        	13 13 09.2	-44 53 24	 3.82	TRGB
NGC5011C          	13 13 11.9	-43 15 56	 3.60	mem
DDO167            	13 13 22.8	+46 19 11	 4.19	TRGB
KK191             	13 13 39.7	+42 02 39	 6.00	txt
DDO168            	13 14 28.6	+45 55 10	 4.33	TRGB
DDO169NW          	13 15 20.1	+47 32 37	 4.20	mem
DDO169            	13 15 30.7	+47 29 47	 4.41	TRGB
KK193             	13 15 31.2	+41 30 05	 8.90	mem
NGC5055           	13 15 49.3	+42 01 45	 8.99	TRGB
CGCG 189-050      	13 17 04.9	+37 57 09	 5.04	h
KK194             	13 17 19.5	+44 23 48	10.00	txt
NGC5068           	13 18 55.3	-21 02 21	 5.45	PNLF
AGC732602         	13 21 04.8	+24 08 36	 7.20	TF
KK195             	13 21 08.2	-31 31 47	 5.22	TRGB
[KK2000] 54       	13 21 32.4	-31 53 11	 4.60	mem
KK196             	13 21 47.1	-45 03 48	 3.98	TRGB
NGC5102           	13 21 57.8	-36 37 47	 3.40	TRGB
KK197             	13 22 01.8	-42 32 08	 3.87	TRGB
[KK2000] 55       	13 22 12.4	-42 43 51	 3.94	TRGB
KK198             	13 22 56.1	-33 34 22	 4.60	mem
AM1320-230        	13 23 29.9	-23 23 35	 4.60	mem
KK200             	13 24 36.0	-30 58 20	 4.63	TRGB
NGC5128           	13 25 28.9	-43 01 00	 3.75	TRGB
IC4247            	13 26 44.4	-30 21 45	 4.97	TRGB
KK203             	13 27 28.1	-45 21 09	 3.60	mem
ESO324-024        	13 27 37.4	-41 28 50	 3.73	TRGB
CVnI              	13 28 03.5	+33 33 21	 0.22	TRGB
LV J1328+4937     	13 28 31.2	+49 37 38	 8.02	mem
PGC170257         	13 29 21.0	-21 10 45	 6.50	mem
NGC5204           	13 29 36.4	+58 25 04	 4.66	TRGB
NGC5194           	13 29 52.7	+47 14 04	 8.40	SN
NGC5195           	13 29 58.7	+47 16 05	 7.66	SBF
UGC08508          	13 30 44.4	+54 54 36	 2.69	TRGB
AGC238890         	13 32 30.3	+25 07 25	 6.80	TF
UGCA361           	13 32 36.2	+49 49 49	 8.00	mem
NGC5206           	13 33 43.9	-48 09 04	 3.47	TRGB
NGC5229           	13 34 02.9	+47 54 55	 8.00	mem
NGC5238           	13 34 42.7	+51 36 50	 4.51	TRGB
ESO270-017        	13 34 47.3	-45 32 51	 3.60	mem
UGCA365           	13 36 30.8	-29 14 11	 5.25	TRGB
KK208             	13 36 35.5	-29 34 15	 4.68	TRGB
MCG +08-25-028    	13 36 44.8	+44 35 57	 7.74	h
NGC5236           	13 37 00.1	-29 52 04	 4.92	TRGB
HIDEEP J1337-33   	13 37 00.6	-33 21 47	 4.37	TRGB
ESO444-084        	13 37 20.2	-28 02 46	 4.61	TRGB
HIPASS J1337-39   	13 37 25.1	-39 53 52	 4.83	TRGB
NGC5237           	13 37 38.9	-42 50 51	 3.40	TRGB
UGC08638          	13 39 19.4	+24 46 33	 4.27	TRGB
DDO181            	13 39 53.8	+40 44 21	 3.01	TRGB
NGC5253           	13 39 55.8	-31 38 24	 3.56	TRGB
IC4316            	13 40 18.1	-28 53 40	 4.41	TRGB
NGC5264           	13 41 37.0	-29 54 50	 4.53	TRGB
[KK2000] 57       	13 41 38.1	-42 34 55	 3.93	TRGB
KK211             	13 42 05.6	-45 12 18	 3.58	TRGB
LV J1342+4840     	13 42 20.1	+48 40 57	 7.44	h
DDO182            	13 42 32.6	+39 39 30	 8.90	TF
KK213             	13 43 35.8	-43 46 09	 3.63	TRGB
ESO325-011        	13 45 00.8	-41 51 32	 3.40	TRGB
[KK2000] 58       	13 46 00.8	-36 19 44	 3.60	mem
KK217             	13 46 17.2	-45 41 05	 3.84	TRGB
KK218             	13 46 39.5	-29 58 45	 4.60	mem
ESO174-001        	13 47 57.7	-53 21 04	 3.60	TF
CenN              	13 48 09.2	-47 33 54	 3.66	TRGB
HIPASS J1348-37   	13 48 33.9	-37 58 03	 5.75	TRGB
KK221             	13 48 46.4	-46 59 49	 3.98	TRGB
ESO383-087        	13 49 18.8	-36 03 41	 3.45	TRGB
DDO183            	13 50 51.1	+38 01 16	 3.22	TRGB
HIPASS J1351-47   	13 51 22.0	-47 00 00	 5.73	TRGB
KDG229            	13 53 41.6	+60 03 04	 8.00	txt
KKH86             	13 54 33.6	+04 14 35	 2.59	TRGB
HolmIV            	13 54 45.1	+53 54 17	 7.21	TRGB
UGC08833          	13 54 48.7	+35 50 15	 3.08	TRGB
GBT 1355+5439     	13 54 50.6	+54 38 50	 7.41	mem
KK227             	13 56 10.1	+40 18 12	10.00	txt
ESO384-016        	13 57 01.6	-35 20 02	 4.53	TRGB
BootesIII         	13 57 07.4	+26 46 30	 0.05	HB
UGC08882          	13 57 14.6	+54 06 03	 8.32	SBF
BootesII          	13 58 00.0	+12 50 00	 0.04	CMD
BootesI           	14 00 00.0	+14 30 00	 0.07	HB
NGC5398           	14 01 22.2	-33 03 52	 8.10	TF
MESSIER101        	14 03 12.8	+54 21 02	 7.38	Cep
NGC5408           	14 03 21.5	-41 22 35	 4.81	TRGB
NGC5474           	14 05 02.1	+53 39 47	 7.20	BS
NGC5477           	14 05 33.1	+54 27 39	 7.70	BS
KK230             	14 07 10.7	+35 03 37	 2.14	TRGB
CIRCINUS          	14 13 09.3	-65 20 21	 4.20	TF
KKH87             	14 15 09.4	+57 05 15	 7.20	TF
DDO187            	14 15 56.5	+23 03 19	 2.20	TRGB
KKR08             	14 19 14.8	+03 07 26	 8.00	txt
NGC5585           	14 19 48.3	+56 43 49	 5.70	BS
DDO190            	14 24 43.5	+44 31 33	 2.74	TRGB
PGC051659         	14 28 03.7	-46 18 06	 3.58	TRGB
Centaurus A-dE5   	14 30 05.0	-33 28 45	 9.00	txt
ESO222-010        	14 35 03.0	-49 25 18	 5.80	TF
DDO194            	14 35 24.6	+57 15 24	 8.02	BS
MRK0475           	14 39 05.4	+36 48 22	 9.20	TF
HIPASS J1441-62   	14 41 42.7	-62 46 02	 6.02	h
ESO272-025        	14 43 25.5	-44 42 19	 5.88	h
ESO273-014        	14 58 30.3	-47 41 55	 9.90	TF
ESO223-009        	15 01 08.5	-48 17 33	 6.49	TRGB
UGC09660          	15 01 09.3	+44 41 53	 7.40	TF
UMin              	15 09 11.3	+67 12 52	 0.06	TRGB
ESO274-001        	15 14 13.5	-46 48 45	 3.09	TRGB
HIPASS J1526-51   	15 26 22.9	-51 10 31	 5.68	h
UGC09992          	15 41 47.8	+67 15 15	 7.30	TF
KKR25             	16 13 47.6	+54 22 16	 1.86	TRGB
ESO137-018        	16 20 59.3	-60 29 15	 6.40	TRGB
